	actor	event_count	event_count_log
479	tdiesler	12008	4.079470679235214
480	Raydiation	12000	4.079181246047625
481	znmeb	12000	4.079181246047625
482	Floppy	11972	4.078166708168154
483	ekmett	11928	4.076567630444938
484	alexrp	11922	4.076349117493459
485	ipa-fmw	11914	4.076057595762826
486	useease	11903	4.075656433597934
487	fordream	11894	4.0753279341632584
488	jonschlinkert	11857	4.073974819866659
489	beberlei	11856	4.0739381906352525
490	kopf	11850	4.073718350346122
491	mojavelinux	11847	4.073608388456207
492	ask	11845	4.073535065058784
493	jamiepg1	11829	4.072948031792886
494	jsonn	11829	4.072948031792886
495	maddisr	11825	4.072801149409849
496	batopa	11823	4.072727689585266
497	agarny	11803	4.071992407124176
498	ednapiranha	11791	4.071550639366932
499	postmodern	11741	4.069705088051851
500	wmidbot	11715	4.068742292932981
501	jsuereth	11713	4.068668143285899
502	burstlam	11709	4.068519806000911
503	garyrussell	11706	4.068408519778162
504	jordansissel	11684	4.067591548301512
505	liferay-dev-ci	11674	4.067219688974141
506	zacc	11630	4.0655797147284485
507	BMc08GT	11576	4.063558518110981
508	STRd6	11490	4.0603200286882855
509	paultag	11489	4.060282229438346
510	drak	11481	4.059979716944162
511	philsturgeon	11474	4.059714845546422
512	zeffii	11456	4.05903300496378
513	aschempp	11446	4.05865374157237
514	KatherineMichel	11439	4.058388059993333
515	M66B	11439	4.058388059993333
516	SimonCropp	11431	4.058084224750925
517	kevinsawicki	11423	4.057780176794582
518	jashkenas	11422	4.057742155828753
519	msabramo	11400	4.056904851336473
520	nicholasbishop	11399	4.056866753658313
521	cpcloud	11398	4.056828652637812
522	gitster	11382	4.056218581272306
523	bartvde	11363	4.055493006677846
524	jamesward	11363	4.055493006677846
525	2215	11357	4.055263625784184
526	hehead	11356	4.05522538385382
527	takluyver	11353	4.055110637854146
528	test7070	11342	4.05468964294998
529	mayulu	11341	4.054651350441741
530	retronym	11334	4.054383208305477
531	senny	11324	4.053999860693065
532	pelson	11322	4.053923150548575
533	y-p	11320	4.053846426852252
534	PVince81	11264	4.051692641798037
535	Nami-Doc	11258	4.051461244324184
536	kohsuke	11251	4.051191124685698
537	doljak	11210	4.0496056125949735
538	JonFerraiolo	11196	4.049062889794125
539	djs55	11181	4.048480647473502
540	buildguy	11176	4.0482863931061255
541	portertech	11166	4.047897623514411
542	jcabi-github-test	11162	4.047742018180641
543	androidarmv6-gerrit	11157	4.047547433078635
544	mrvisser	11138	4.04680721355374
545	bantu	11133	4.046612209068446
546	frugalware	11112	4.045792232729559
547	WalterBright	11093	4.045049012988961
548	ryanbrainard	11069	4.04410838744612
549	stloyd	11023	4.042299807413626
550	rbran100	11016	4.042023927248867
551	alexberesnev	11010	4.0417873189717515
552	turesheim	10997	4.04127422505423
553	henry4j	10946	4.0392554438064865
554	evanphx	10941	4.039057018033444
555	temasek	10941	4.039057018033444
556	cebe	10923	4.038341933653606
557	cloudedge	10907	4.037705313135537
558	synergydev	10877	4.03650912853273
559	josegonzalez	10857	4.035709837827862
560	ahendrix	10856	4.035669834651681
561	maijunjin	10849	4.035389709198677
562	codeguru42	10839	4.034989216287685
563	john-peterson	10836	4.034868996361131
564	lloyd	10823	4.0343476584468485
565	viatropos	10822	4.034307529596563
566	mozwebqabot	10809	4.033785516842231
567	jwiegley	10800	4.033423755486949
568	mathiasbynens	10798	4.033343323135224
569	sunyc	10776	4.03245758271493
570	zunda	10768	4.032135046879902
571	grosser	10766	4.032054375479669
572	Licenser	10763	4.0319333402756055
573	DigiZeit	10753	4.031529645803423
574	WouterJ	10752	4.03148925570975
575	ngokevin	10749	4.031368062885773
576	michael	10732	4.0306806639999015
577	uGoMobi	10730	4.030599721965951
578	MrDys	10729	4.030559245291156
579	ultra2	10727	4.030478280622408
580	thaljef	10722	4.030275802889288
581	angelventura	10705	4.029586671630457
582	mperham	10705	4.029586671630457
583	lunaryorn	10701	4.029424364058016
584	MayhemYDG	10688	4.028896445131471
585	illugerrit	10681	4.02861191506623
586	jtimberman	10675	4.028367883697062
587	paulp	10666	4.028001579346858
588	coderaiser	10651	4.02739038468497
589	nouiz	10624	4.0262880620239425
590	lukecampbell	10616	4.025960909856379
591	mikermcneil	10612	4.025797241310292
592	sc0ttkclark	10605	4.0255106728525805
593	supertuxkart-sourceforge-migration	10589	4.024854948305018
594	mourner	10583	4.024608796126558
595	ybakos	10578	4.0244035626829655
596	gjtorikian	10563	4.023787279789847
597	HackerMil	10561	4.023705042622037
598	frodsan	10560	4.023663918197793
599	rvagg	10558	4.0235816576649395
600	benoitc	10557	4.023540521554854
601	bors-servo	10554	4.023417089841105
602	TheSerapher	10553	4.023375938139562
603	igorw	10536	4.022675761953727
604	thlorenz	10506	4.02143739646709
605	xreader	10506	4.02143739646709
606	ehelms	10503	4.021313365484695
607	michaelficarra	10503	4.021313365484695
608	reset	10503	4.021313365484695
609	creationix	10502	4.021272013951038
610	mikfalluf	10502	4.021272013951038
611	agentzh	10498	4.021106568432121
612	textcube-dev	10477	4.020236943910808
613	mokeeopensource	10475	4.020154031638333
614	boriskob	10474	4.020112569565467
615	clebertsuconic	10462	4.019614715691417
616	bradleywright	10444	4.018866863150907
617	vojtajina	10440	4.018700498666243
618	christianv	10422	4.017951068830742
619	slinkp	10417	4.017742664161498
620	robhudson	10416	4.017700971224117
621	aheckmann	10412	4.017534159437198
622	dblock	10406	4.017283821560018
623	phalcon	10392	4.016699138064971
624	financeCoding	10392	4.016699138064971
625	Carreau	10391	4.016657344822202
626	ViralBShah	10390	4.016615547557177
627	imclab	10386	4.016448318259037
628	jfirebaugh	10381	4.016239191042639
629	dastin1015	10371	4.015820634262069
630	itroot	10362	4.015443587951102
631	djmitche	10359	4.015317833069116
632	pjedrzejewski	10353	4.015066214011149
633	jarib	10348	4.014856420044506
634	narfbg	10347	4.014814449087053
635	CloCkWeRX	10323	4.013805927340592
636	hbons	10315	4.013469232309171
637	TwistedUmbrella	10283	4.012119835804513
638	maxogden	10276	4.011824095594308
639	bakura10	10267	4.011443562022075
640	wesm	10264	4.011316643366872
641	jpmckinney	10259	4.01110502981598
642	phil65	10254	4.01089331310438
643	remy	10241	4.010342366139568
644	ixti	10240	4.010299956639812
645	martinstojcevski50	10225	4.009663316679379
646	nulltoken	10197	4.008472419302722
647	blueimp	10174	4.0074917332953355
648	mindfreakthemon	10150	4.006466042249231
649	petebacondarwin	10142	4.006123606211855
650	nickvergessen	10128	4.00552369267328
651	rwldrn	10128	4.00552369267328
652	lepture	10125	4.005395031886706
653	eile	10099	4.0042783722001625
654	dominictarr	10070	4.003029470553618
655	Toflar	10062	4.00268431298973
656	butterbot	10061	4.0026411490000395
657	wballard	10037	4.001603924149798
658	dstufft	10009	4.00039068924991
659	ghalliday	9994	3.999739345106568
660	daviddavis	9991	3.999608958971417
661	leostera	9979	3.9990870226258886
662	behlendorf	9976	3.998956440470486
663	netconstructor	9974	3.9988693638823443
664	technomancy	9965	3.9984773030365064
665	k88hudson	9960	3.998259338423699
666	ogrisel	9959	3.998215732370958
667	crosbymichael	9957	3.9981285071282664
668	dorimanx	9927	3.9968180218795153
669	davidmcclure	9924	3.9966867556001713
670	chocolate-import	9903	3.995766779049974
671	cooljeanius	9887	3.9950645341561417
672	benlangfeld	9885	3.994976673649691
673	rmcgibbo	9880	3.9947569445876283
674	benbalter	9873	3.994449137014036
675	Sanne	9870	3.9943171526696366
676	certik	9870	3.9943171526696366
677	jeromeetienne	9858	3.993788813818705
678	jfelchner	9848	3.99334803992326
679	luke-jr	9842	3.993083360698062
680	DominikDary	9840	3.9929950984313414
681	gckjdev	9837	3.9928626713890276
682	stephenbrown1990	9831	3.992597696102038
683	hueniverse	9829	3.9925093350677754
684	book66	9821	3.9921557110426167
685	samueljohn	9813	3.991801798844644
686	tarcieri	9808	3.9915804571743396
687	eduardolundgren	9802	3.9913146981766108
688	minggo	9784	3.9905164440282292
689	andyblac	9781	3.9903832589062334
690	ghc-mirror	9770	3.989894563718773
691	cloudaice	9762	3.9895388033205026
692	wch	9754	3.9891827512555476
693	dpackcartonmachine	9744	3.9887372752888
694	nabeta	9741	3.988603543345664
695	dannomac	9736	3.9883805652220086
696	davehunt	9735	3.9883359558560505
697	jreidinger	9715	3.9874428049358013
698	owainlewis	9711	3.9872639541222354
699	mahagr	9704	3.9869507878585164
700	GaelVaroquaux	9701	3.9868165045855366
701	staabm	9683	3.9860099318532614
702	branflake2267	9683	3.9860099318532614
703	eteq	9681	3.9859202201235675
704	dippa	9674	3.9856060830524362
705	juppe	9674	3.9856060830524362
706	rdosser	9665	3.985201858364572
707	issuesbot	9657	3.984842231405276
708	meh	9655	3.9847522781154137
709	jone	9653	3.9846623061901068
710	mjschranz	9645	3.9843022319799033
711	mrocklin	9643	3.984212166761434
712	passy	9632	3.9837164739137494
713	pydanny	9628	3.9835360816029923
714	Krinkle	9612	3.9828137621318627
715	glraghukishore	9608	3.9826329943948497
716	samccone	9604	3.9824521513849898
717	coldnew	9604	3.9824521513849898
718	kumar303	9602	3.9823617016331467
719	Quarx2k	9601	3.982316469692065
720	Eric89GXL	9598	3.9821807455964024
721	cgjones	9589	3.9817733186277473
722	andrew	9586	3.981637424655769
723	fengmk2	9580	3.9813655090785445
724	mattben	9579	3.9813201732591073
725	josef-pkt	9551	3.9800488450649567
726	gregcaporaso	9539	3.9795028487874013
727	jvazquez-r7	9530	3.979092900638326
728	joshk	9522	3.9787281771384917
729	livetv20	9503	3.9778607292646972
730	josephwerman2	9494	3.9774492273823414
731	cbeer	9493	3.9774034808734346
732	dg	9493	3.9774034808734346
